round_epochs,loss,val_loss,batch_size,dense2_nodes,dense_layers,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer,time_steps
11,0.0014234641565410093,0.0006301450509151133,20,20,1,50,0.0005,70,40,1,rms,30
11,0.0013803345576925861,0.0004347969376620777,20,20,1,50,0.0005,70,40,1,rms,60
11,0.0012744097630831897,0.0007123216611540152,20,20,1,50,0.0005,70,40,1,rms,90
11,0.01179299943954052,0.004649474901574043,20,20,1,50,0.0005,70,40,1,adam,30
11,0.010449905381208718,0.005506597692146897,20,20,1,50,0.0005,70,40,1,adam,60
11,0.009814747577124484,0.005306446609190768,20,20,1,50,0.0005,70,40,1,adam,90
11,0.0010909401753451675,0.0008099338689741368,20,20,1,50,0.0005,70,40,2,rms,30
11,0.0011742693784228065,0.0014884722916944388,20,20,1,50,0.0005,70,40,2,rms,60
11,0.0012091884746041615,0.0008488590693256508,20,20,1,50,0.0005,70,40,2,rms,90
11,0.030681898035857844,0.036144771108714245,20,20,1,50,0.0005,70,40,2,adam,30
11,0.02621737432506199,0.029794601287613524,20,20,1,50,0.0005,70,40,2,adam,60
11,0.024282463750212778,0.028643503702349134,20,20,1,50,0.0005,70,40,2,adam,90
11,0.0014178732623013868,0.0005854820295401927,20,20,1,50,0.0005,70,60,1,rms,30
11,0.0010916977448181973,0.0005656028862428316,20,20,1,50,0.0005,70,60,1,rms,60
11,0.0012995832901429006,0.000902944388670019,20,20,1,50,0.0005,70,60,1,rms,90
11,0.013006908872899547,0.008723666629521176,20,20,1,50,0.0005,70,60,1,adam,30
11,0.010142931912207243,0.005592214686677177,20,20,1,50,0.0005,70,60,1,adam,60
11,0.009594740877070521,0.004680551272920436,20,20,1,50,0.0005,70,60,1,adam,90
11,0.0009884466825903688,0.0015914912922501874,20,20,1,50,0.0005,70,60,2,rms,30
11,0.001163148338115078,0.0009739214171744646,20,20,1,50,0.0005,70,60,2,rms,60
11,0.0012582004410618612,0.001257932988098926,20,20,1,50,0.0005,70,60,2,rms,90
11,0.028617503060655077,0.03231641972282281,20,20,1,50,0.0005,70,60,2,adam,30
11,0.035185156427700114,0.042480566637947206,20,20,1,50,0.0005,70,60,2,adam,60
11,0.029008712077855457,0.03562813111477428,20,20,1,50,0.0005,70,60,2,adam,90
11,0.0013244853405593121,0.00048069703401173075,20,20,1,50,0.0005,70,70,1,rms,30
11,0.0012586530839796225,0.0006972200489860583,20,20,1,50,0.0005,70,70,1,rms,60
11,0.0011377076425189295,0.0005719889485691157,20,20,1,50,0.0005,70,70,1,rms,90
11,0.01123410149070261,0.007469783168441306,20,20,1,50,0.0005,70,70,1,adam,30
11,0.01087026679629667,0.004629434269674598,20,20,1,50,0.0005,70,70,1,adam,60
11,0.009940420308302403,0.004370808120196064,20,20,1,50,0.0005,70,70,1,adam,90
11,0.001172845856164905,0.0008936658578022616,20,20,1,50,0.0005,70,70,2,rms,30
11,0.0012538652385542678,0.0007433062865141224,20,20,1,50,0.0005,70,70,2,rms,60
11,0.0010897367502941645,0.0011611085553239616,20,20,1,50,0.0005,70,70,2,rms,90
